,a,b
208,11.11,56.99
209,9.25,3.06
210,7.74,0.74
211,12.34,0.06
212,10.9,0.36
213,10.35,0.99
214,11.76,16.22
215,9.52,0.25
216,13.21,30.37
217,9.68,28.01
218,9.59,0.58
219,10.37,0.47
220,9.39,1.02
221,9.78,0.19
222,10.35,0.1
223,8.7,0.3
224,10.96,2.79
225,10.19,0.01
226,13.96,4.38
227,9.46,31.82
228,8.57,13.74
229,8.31,33.54
230,10.9,0.04
231,10.66,0.1
232,8.21,29.23
233,11.77,2.29
234,6.84,15.13
235,8.21,1.57
236,9.14,3.74
237,9.94,0.12
238,8.31,0.32
239,12.81,7.34
240,12.33,1.46
241,10.34,0.92
242,10.31,6.02
243,10.02,0.18
244,10.17,0.03
245,11.61,0.16
246,11.77,0.55
247,11.05,25.47
248,9.36,0.13
249,7.09,4.69
250,6.69,3.26
251,10.5,5.86
252,7.21,22.84
253,8.94,0.99
254,12.28,9.51
255,10.78,0.12
256,10.21,10.09
257,10.32,2.18
258,11.37,0.1
259,11.36,0.01
260,8.16,0.77
261,7.71,0.68
262,8.33,112.28
263,9.83,121.37
264,14.38,0.12
265,10.38,8.48
266,10.16,0.77
267,12.09,0.72
268,11.84,0.06
269,8.56,0.56
270,5.72,2.2
271,15.19,0.27
272,9.2,4.16
273,8.89,1.3
274,12.39,41.98
275,7.9,5.45
276,9.26,2.73
277,6.98,1.4
278,11.84,0.45
279,8.44,7.78
280,10.09,0.3
281,11.51,4.99
282,9.52,0.93
283,14.55,1.44
284,9.63,73.43
285,6.63,4.87
286,11.48,5.21
287,11.6,0.44
288,11.71,1.06
289,8.37,1.55
290,8.75,0.21
291,9.6,0.13
292,11.61,1.7
293,9.48,15.74
294,12.4,0.08
295,11.38,1.35
296,11.01,0.23
297,8.11,2.79
298,5.89,2.1
299,9.99,0.07
300,12.5,0.08
301,11.52,2.65
302,7.93,1.42
303,11.22,2.07
304,9.83,3.58
305,10.79,3.94
306,7.31,123.49
307,7.72,2.34
308,9.29,1.12
309,12.11,0.53
310,9.05,30.21
311,9.97,9.29
312,12.44,0.26
313,8.78,0.11
314,8.83,0.1
315,8.47,6.83
316,12.22,9.02
317,8.83,1.54
318,7.06,0.02
319,8.52,0.06
320,10.34,2.18
321,10.19,0.93
322,11.01,1.17
323,12.29,0.65
324,10.42,0.35
325,8.88,1.88
326,6.03,0.69
327,10.33,0.03
328,11.41,0.31
329,10.85,1.88
330,11.01,0.44
331,8.55,4.23
332,11.07,37.67
333,6.34,0.06
334,6.94,932.23
335,6.26,0.36
336,11.56,0.72
337,11.29,3.54
338,11.28,0.05
339,13.4,1.23
340,7.51,1.05
341,10.51,0.33
342,9.18,1.88
343,8.56,0.24
344,11.54,1.11
345,9.2,0.03
346,7.81,3.4
347,11.46,7.28
348,9.0,46.06
349,9.72,0.22
350,11.65,3.7
351,9.34,0.56
352,9.24,7.34
353,10.75,0.04
354,13.22,0.26
355,6.72,0.85
356,13.3,29.96
357,11.97,0.03
358,10.88,4.69
359,11.16,0.91
360,7.54,2.19
361,10.76,0.31
362,12.16,0.04
363,10.23,15.14
364,6.86,0.1
365,9.36,1.38
366,7.15,0.11
367,7.45,1.77
368,7.76,12.42
369,11.59,1.97
370,13.06,0.27
371,9.6,0.76
372,12.16,2.14
373,8.81,0.04
374,9.13,3.16
375,12.44,1.34
376,14.33,0.52
377,12.47,3.44
378,4.93,3.09
379,9.1,1.06
380,10.35,0.65
381,10.35,0.29
382,8.0,2.42
383,15.34,30.68
384,6.03,3.42
385,9.82,4.87
386,7.99,0.07
387,9.16,0.04
388,9.84,4.09
389,8.44,0.29
390,10.14,11.88
391,6.47,0.63
392,7.8,0.73
393,10.51,2.47
394,7.16,0.45
395,10.62,0.01
396,8.61,17.47
397,7.39,0.51
398,9.87,2.54
399,8.35,0.28
400,13.38,0.45
401,10.08,0.77
402,13.22,4.41
403,8.05,2.54
404,12.13,0.04
405,9.89,3.82
406,11.36,1.38
407,8.84,0.87
408,12.27,7.18
409,14.15,0.01
410,8.38,1.72
411,8.15,0.89
412,14.13,5.29
413,7.61,2.86
414,9.53,7.31
415,8.55,0.09
416,6.69,8.11
417,8.96,0.06
418,9.56,0.81
419,5.33,0.41
420,12.07,3.69
421,10.08,0.67
422,4.54,2.66
423,9.9,3.23
424,14.26,0.55
425,7.88,6.75
426,10.03,1.65
427,13.31,0.02
428,5.09,0.12
429,12.46,0.17
430,13.75,0.68
431,13.0,0.32
432,7.38,2.71
433,11.48,0.27
434,9.54,5.86
435,13.04,2.39
436,12.26,0.03
437,9.1,0.75
438,9.84,0.22
439,8.07,3.54
440,9.15,24.64
441,9.32,0.05
442,9.96,0.52
443,9.4,123.57
444,8.31,0.08
445,10.06,3.37
446,8.97,0.01
447,9.81,0.65
448,8.27,0.42
449,12.7,0.06
450,12.41,0.07
451,12.31,6.16
452,7.76,0.74
453,10.38,19.7
454,9.25,0.17
455,10.01,0.41
456,10.95,20.1
457,11.62,61.85
458,8.23,5.87
459,12.45,2.55
460,12.56,3.94
461,12.35,0.89
462,8.64,115.7
463,10.41,9.33
464,10.0,0.22
465,8.48,18.66
466,8.28,0.51
467,9.85,1.13
468,7.87,2.58
469,7.15,0.14
470,9.43,3.42
471,9.82,103.91
472,11.72,0.14
473,13.21,0.03
474,7.4,0.53
475,10.49,0.37
476,11.21,12.52
477,7.92,0.1
478,9.14,62.5
479,10.09,0.1
480,9.4,2.47
481,11.42,90.49
482,13.3,20.84
483,13.88,8.52
484,9.62,0.95
485,9.17,1.9
486,11.95,0.2
487,9.51,42.31
488,9.83,0.38
489,11.49,0.46
490,8.2,0.78
491,12.99,0.69
492,9.28,0.27
493,10.66,0.78
494,8.72,0.5
495,10.58,3.82
496,8.27,4.55
497,6.32,0.7
498,8.67,0.6
499,10.91,0.0
500,6.8,1.03
501,11.05,0.2
502,13.35,0.12
503,9.37,7.98
504,11.55,0.22
505,9.37,0.88
506,11.91,28.42
507,9.53,5.43
508,5.55,0.96
509,8.95,0.4
510,12.49,0.91
511,9.67,0.0
512,8.43,5.05
513,10.54,0.97
514,7.05,17.51
515,13.39,5.83
516,7.98,3.52
517,11.02,210.33
518,10.57,2.36
519,9.26,2.27
520,7.38,2.52
521,10.12,226.94
522,9.87,2.22
523,9.84,0.0
524,6.16,0.94
525,9.99,0.9
526,9.66,4.48
527,9.87,0.98
528,9.87,0.17
529,8.58,0.09
530,7.24,0.7
531,10.56,2.64
532,7.64,25.58
533,8.07,28.17
534,9.94,0.4
535,13.34,0.36
536,11.06,1.04
537,12.07,0.0
538,9.34,13.45
539,9.44,0.08
540,10.91,1.07
541,10.55,0.06
542,10.47,0.97
543,10.83,1.49
544,9.33,0.17
545,9.93,2.81
546,9.98,0.68
547,13.27,4.99
548,9.8,0.16
549,10.16,0.67
550,11.6,1.48
551,11.58,0.22
552,11.55,0.01
553,6.52,3.2
554,9.73,0.88
555,9.48,2.85
556,9.61,0.1
557,10.55,5.11
558,11.66,4.7
559,10.64,1.01
560,8.91,8.46
561,9.39,0.01
562,6.72,0.11
563,8.05,0.08
564,12.61,0.05
565,9.99,0.26
566,6.88,1.11
567,9.33,27.56
568,10.44,1.25
569,10.67,3.73
570,7.46,0.53
571,9.01,44.73
572,12.72,0.16
573,15.94,0.1
574,10.01,1.53
575,7.49,54.26
576,8.46,0.46
577,8.43,0.61
578,9.46,24.18
579,11.93,0.08
580,13.61,0.13
581,5.95,0.02
582,9.7,0.0
583,10.67,0.07
584,9.46,0.02
585,9.46,0.07
586,9.44,20.08
587,12.99,0.13
588,10.89,0.19
589,8.71,13.21
590,13.74,0.98
591,11.86,26.53
592,7.38,5.69
593,7.67,0.82
594,10.19,68.3
595,10.92,4.43
596,7.57,0.24
597,12.56,0.08
598,10.93,147.52
599,11.87,0.29
600,7.24,4.58
601,6.66,2.81
602,10.73,6.09
603,9.84,26.45
604,11.82,0.0
605,8.38,0.38
606,10.78,0.81
607,4.65,24.88
608,7.96,0.32
609,10.9,0.22
610,6.71,4.47
611,7.83,0.29
612,9.32,4.7
613,11.14,27.53
614,12.48,24.39
615,8.17,0.16
616,8.09,0.01
617,13.66,3.05
618,15.18,0.69
619,9.39,44.94
620,9.21,0.03
621,11.59,3.91
622,11.96,0.23
623,7.57,1.69
624,13.09,7.07
625,7.01,2.13
626,9.24,1.6
627,5.97,6.46
628,12.37,1.24
629,11.54,0.8
630,11.69,25.58
631,8.19,0.01
632,10.95,4.97
633,7.3,42.71
634,10.48,2.92
635,13.31,8.06
636,11.35,18.19
637,8.45,28.38
638,13.05,0.11
639,9.03,4.66
640,9.76,178.97
641,12.22,0.11
642,7.73,1.08
643,10.92,0.33
644,10.36,0.22
645,7.85,1.33
646,10.15,0.31
647,10.57,0.08
648,10.96,0.04
649,10.57,12.4
650,12.37,76.56
651,11.22,62.03
652,9.54,0.14
653,10.0,0.05
654,11.52,0.54
655,8.03,5.01
656,11.27,0.59
657,9.22,25.88
658,10.05,9.15
659,6.73,1.99
660,11.99,0.14
661,7.28,0.44
662,10.12,34.31
663,9.58,0.36
664,12.31,0.51
665,10.16,0.08
666,12.04,9.89
667,9.73,0.82
668,8.96,1.43
669,11.93,0.03
670,8.34,0.32
671,6.25,0.07
672,5.22,1.41
673,11.95,34.68
674,10.96,0.08
675,8.98,0.03
676,11.87,1.2
677,12.94,4.57
678,10.29,0.3
679,8.73,0.4
680,15.82,1.62
681,8.58,0.75
682,10.9,2.01
683,8.63,0.11
684,5.65,0.12
685,9.46,0.93
686,9.06,6.47
687,11.32,3.13
688,9.79,0.59
689,8.9,2.16
690,12.58,0.19
691,8.8,0.65
692,7.24,0.03
693,7.82,0.05
694,7.21,0.0
695,7.18,23.18
696,10.86,3.55
697,8.89,4.41
698,10.71,3.61
699,10.35,1.83
700,6.52,1.22
701,9.04,0.34
702,7.99,2.9
703,8.45,0.89
704,12.72,0.53
705,13.3,0.43
706,11.66,0.17
707,5.48,0.9
708,11.84,0.06
709,11.61,0.11
710,12.71,1.62
711,8.84,24.86
712,6.59,1.17
713,7.32,0.63
714,12.04,3.32
715,12.71,7.73
716,12.05,22.34
717,8.54,1.16
718,10.87,14.37
719,11.66,0.38
720,8.62,0.02
721,11.73,29.13
722,9.35,4.42
723,9.81,0.67
724,8.21,1.19
725,11.91,11.08
726,8.1,1.9
727,10.86,0.03
728,8.2,8.13
729,7.66,25.31
730,9.06,19.05
731,11.66,3.31
732,9.75,5.18
733,10.03,0.3
734,10.79,3.26
735,11.35,0.56
736,10.41,0.08
737,10.23,0.18
738,9.04,0.46
739,12.97,1.75
740,6.43,1.35
741,6.84,31.19
742,10.15,0.15
743,10.12,53.03
744,8.71,5.12
745,11.57,0.64
746,7.51,0.06
747,8.13,6.04
748,11.89,0.06
749,7.25,35.04
750,11.71,0.11
751,9.91,7.3
752,10.61,0.37
753,9.68,57.09
754,10.77,0.06
755,11.59,1.55
756,7.12,0.09
757,7.09,7.95
758,11.68,11.99
759,9.43,13.81
760,7.71,0.14
761,12.37,1.68
762,8.31,1.07
763,10.66,3.19
764,8.8,8.22
765,10.58,31.12
766,6.73,0.02
767,7.04,1.31
768,11.99,27.74
769,7.39,5.52
770,12.74,22.02
771,13.64,0.15
772,8.8,2.42
773,10.25,0.21
774,11.31,3.73
775,9.08,0.37
776,11.64,4.32
777,8.31,2.05
778,8.43,1.23
779,13.2,0.18
780,12.12,0.3
781,8.91,0.27
782,8.64,0.42
783,10.52,0.58
784,11.56,2.27
785,11.18,0.27
786,11.64,8.79
787,9.1,1.58
788,10.05,1.08
789,9.97,0.4
790,13.44,2.52
791,12.16,14.16
792,8.67,5.61
793,10.19,3.75
794,11.35,0.85
795,10.4,0.22
796,9.8,0.65
797,11.3,0.02
798,9.9,2.15
799,9.68,24.22
800,13.11,24.51
801,8.37,0.16
802,11.35,8.23
803,10.12,1.7
804,9.71,0.67
805,9.29,0.07
806,11.0,0.04
807,12.21,11.38
808,9.16,0.22
809,10.19,1.34
810,11.03,0.88
811,9.29,0.14
812,8.26,2.07
813,9.74,1.06
814,13.21,14.32
815,6.97,10.44
816,9.05,2.05
817,8.31,17.24
818,9.95,2.5
819,7.32,19.22
820,10.6,0.05
821,6.1,0.29
822,12.61,0.15
823,9.13,1.69
824,12.43,0.24
825,8.28,14.46
826,8.8,2.8
827,10.19,5.0
828,10.33,10.73
829,8.97,0.24
830,12.19,0.34
831,9.16,118.28
832,9.07,98.04
833,9.11,0.03
834,8.38,0.04
835,13.41,0.37
836,10.06,37.89
837,10.94,0.05
838,7.84,0.11
839,7.94,0.05
840,8.91,1.49
841,7.84,3.99
842,10.73,1.85
843,10.87,0.35
844,11.68,3.05
845,7.12,6.79
846,14.06,0.29
847,11.05,0.1
848,10.82,1.13
849,11.33,0.14
850,10.58,33.52
851,10.08,0.63
852,9.68,60.08
853,12.04,0.05
854,7.29,0.23
855,3.95,0.25
856,7.01,0.87
857,7.83,0.56
858,8.97,0.77
859,11.65,4.16
860,9.07,1.56
861,8.08,4.62
862,13.68,0.5
863,11.79,0.11
864,11.44,0.21
865,8.88,0.55
866,11.21,2.16
867,12.26,0.17
868,7.03,0.04
869,8.14,1.19
870,7.16,0.94
871,11.27,0.57
872,8.65,10.49
873,8.69,1.28
874,7.2,0.38
875,10.71,3.77
876,10.02,1.14
877,11.1,2.95
878,13.18,2.32
879,11.0,1.23
880,11.22,8.48
881,8.91,2.74
882,8.54,0.3
883,9.08,4.46
884,8.87,0.28
885,11.92,0.13
886,10.19,0.08
887,8.84,0.77
888,6.61,0.37
889,11.09,0.09
890,7.1,10.49
891,10.91,20.24
892,11.01,15.03
893,7.6,0.29
894,7.55,0.04
895,9.48,61.59
896,11.68,8.34
897,7.98,9.17
898,8.36,0.28
899,8.68,2.25
900,11.08,0.0
901,12.4,1.43
902,12.66,1.18
903,13.12,0.05
904,7.27,0.62
905,7.98,36.49
906,11.24,0.15
907,12.24,83.5
908,10.58,3.66
909,7.67,0.16
910,7.69,1.02
911,6.29,26.77
912,11.57,4.97
913,9.93,3.4
914,10.6,3.17
915,10.2,2.21
916,9.29,0.01
917,10.19,1.62
918,13.28,0.66
919,13.33,0.16
920,10.29,42.14
921,10.79,1.36
922,9.85,0.25
923,10.89,0.02
924,8.81,0.69
925,12.23,0.02
926,10.57,0.16
927,11.57,0.1
928,7.1,2.05
929,8.31,1.4
930,10.47,1.65
931,14.1,0.32
932,6.76,0.07
933,8.97,1.43
934,9.79,3.29
935,8.0,11.47
936,10.56,382.61
937,9.24,0.66
938,10.41,1.54
939,10.21,0.61
940,7.18,3.32
941,10.67,1.67
942,7.36,7.46
943,12.23,0.02
944,9.13,0.16
945,11.15,0.12
946,12.14,0.07
947,12.18,0.07
948,8.14,0.31
949,7.68,0.12
950,10.24,1.62
951,9.22,4.34
952,10.46,4.49
953,10.59,28.63
954,9.73,2.16
955,13.61,6.6
956,5.09,0.83
957,8.25,0.44
958,11.77,7.39
959,8.21,19.16
960,11.82,0.14
961,7.67,0.22
962,11.47,2.35
963,13.77,0.61
964,9.41,16.4
965,12.42,0.79
966,7.31,0.76
967,10.37,0.04
968,8.71,29.51
969,12.78,0.05
970,10.46,1.11
971,10.25,0.97
972,6.07,0.0
973,11.58,0.08
974,12.0,4.31
975,12.03,0.43
976,11.09,0.33
977,11.19,1.24
978,10.31,0.14
979,13.83,26.03
980,10.02,0.01
981,11.2,0.05
982,9.27,7.99
983,13.86,0.59
984,11.71,1.19
985,10.53,0.51
986,7.5,4.69
987,6.34,0.04
988,10.89,3.24
989,9.83,6.09
990,13.15,18.15
991,8.08,0.05
992,8.46,1.21
993,11.1,14.86
994,9.39,0.33
995,9.69,0.31
996,7.55,0.72
997,7.75,0.88
998,12.3,0.12
999,11.78,3.37
1000,12.26,0.72
1001,7.99,1.34
1002,9.35,1.5
1003,11.07,3.04
1004,9.86,0.11
1005,8.41,0.62
1006,10.3,0.01
1007,10.82,21.98
1008,9.67,0.71
1009,12.39,11.47
1010,12.56,1.36
1011,12.08,0.53
1012,11.05,7.94
1013,8.68,126.4
1014,5.38,0.96
1015,14.58,0.05
1016,10.25,2.65
1017,12.2,11.98
1018,12.04,5.83
1019,13.39,11.5
1020,11.43,8.04
1021,10.17,0.13
1022,9.53,1.0
1023,7.16,2.12
1024,8.73,12.53
1025,9.88,0.02
1026,7.38,11.08
1027,11.65,1.42
1028,10.57,14.82
1029,10.62,0.07
1030,8.36,0.03
1031,9.71,0.09
1032,10.96,0.18
1033,10.06,1.28
1034,12.53,97.3
1035,8.57,45.5
1036,8.58,2.98
1037,11.59,0.96
1038,12.02,0.24
1039,11.86,0.22
1040,10.21,3.86
1041,11.02,0.43
1042,12.48,1.23
1043,11.87,0.16
1044,7.35,1.9
1045,10.1,3.92
1046,11.73,1.99
1047,9.03,3.04
1048,9.49,0.36
1049,10.24,0.37
1050,12.02,3.56
1051,9.25,0.09
1052,11.78,2.11
1053,9.97,0.73
1054,6.53,0.04
1055,7.68,0.27
1056,6.33,0.51
1057,11.54,0.06
1058,7.18,0.38
1059,14.23,0.58
1060,11.36,8.93
1061,8.92,0.19
1062,9.92,0.86
1063,11.8,0.11
1064,13.1,0.76
1065,7.98,1.52
1066,9.73,2.91
1067,10.75,15.22
1068,11.5,0.34
1069,9.61,1.08
1070,8.75,0.19
1071,12.14,0.21
1072,4.05,1.3
1073,14.22,23.93
1074,11.79,0.65
1075,11.77,0.45
1076,8.04,7.39
1077,7.44,7.58
1078,9.95,0.24
1079,9.3,0.34
1080,7.85,0.05
1081,9.15,0.37
1082,11.23,0.16
1083,7.76,1.06
1084,8.44,0.02
1085,9.89,0.15
1086,8.76,0.93
1087,9.72,2.25
1088,11.78,2.87
1089,9.17,0.92
1090,11.19,0.1
1091,13.27,0.5
1092,10.1,2.83
1093,9.93,0.4
1094,11.13,0.29
1095,16.88,6.5
1096,5.98,6.68
1097,11.61,1.22
1098,7.19,1.29
1099,9.14,1.12
1100,8.84,1.81
1101,11.87,0.18
1102,10.86,0.96
1103,12.03,0.83
1104,10.4,0.84
1105,13.35,1.07
1106,12.31,0.38
1107,7.21,0.22
1108,7.59,0.71
1109,8.83,0.07
1110,11.29,1.66
1111,12.64,0.35
1112,8.34,2.98
1113,11.14,13.01
1114,11.56,8.55
1115,13.62,43.57
1116,8.72,0.23
1117,13.28,0.76
1118,10.2,31.73
1119,10.24,5.98
1120,9.43,5.73
1121,9.71,0.0
1122,9.26,0.2
1123,14.48,2.99
1124,5.04,2.47
1125,8.09,74.59
1126,8.42,3.1
1127,12.09,0.48
1128,8.01,1.6
1129,14.1,0.02
1130,10.6,5.46
1131,13.28,4.92
1132,12.54,0.95
1133,9.61,0.01
1134,9.71,0.03
1135,9.93,0.3
1136,10.04,2.19
1137,12.25,16.74
1138,11.33,1.68
1139,9.29,8.46
1140,6.64,0.4
1141,10.47,3.06
1142,14.55,1.08
1143,9.16,24.62
1144,10.33,0.07
1145,7.44,4.97
1146,5.95,0.4
1147,11.0,11.19
1148,7.33,1.61
1149,12.35,6.96
1150,10.55,0.73
1151,8.12,0.98
1152,10.82,0.26
1153,10.92,37.23
1154,11.62,62.01
1155,7.49,0.07
1156,10.86,5.31
1157,9.14,0.23
1158,10.96,8.18
1159,12.88,1.17
1160,6.62,0.17
1161,10.29,2.82
1162,7.57,8.61
1163,8.7,5.63
1164,12.86,1.85
1165,9.46,1.12
1166,9.13,1.59
1167,11.24,0.02
1168,9.02,0.01
1169,8.82,0.91
1170,8.21,3.38
1171,7.37,20.19
1172,9.77,24.17
1173,8.35,0.31
1174,7.72,8.17
1175,10.07,0.06
1176,8.43,0.94
1177,14.68,0.22
1178,6.69,0.19
1179,10.15,0.04
1180,11.27,3.16
1181,9.68,3.57
1182,11.74,0.03
1183,9.1,0.01
1184,8.2,0.61
1185,4.79,21.39
1186,11.62,0.54
1187,10.05,2.36
1188,9.94,0.19
1189,8.97,0.21
1190,11.65,0.64
1191,10.75,2.29
1192,12.08,0.19
1193,9.86,2.26
1194,13.24,0.04
1195,9.64,0.6
1196,12.84,0.02
1197,13.73,0.17
1198,8.71,0.02
1199,9.09,0.43
1200,9.87,13.18
1201,10.95,1.81
1202,11.86,661.73
1203,9.89,0.58
1204,9.46,0.31
1205,11.0,2.04
1206,7.27,34.87
1207,8.47,0.06
1208,9.46,2.1
1209,10.37,0.86
1210,12.04,0.15
1211,10.1,0.05
1212,9.85,0.02
1213,11.11,29.9
1214,8.67,10.94
1215,12.27,18.05
1216,8.81,0.43
1217,10.22,3.09
1218,12.88,0.64
1219,8.95,1.94
1220,12.98,0.51
1221,10.23,2.4
1222,8.97,8.33
1223,10.05,2.55
1224,9.33,2.76
1225,11.07,5.43
1226,9.87,19.62
1227,10.49,7.84
1228,10.67,0.48
1229,10.02,0.03
1230,6.72,3.8
1231,11.19,7.94
1232,3.64,1.62
1233,11.93,0.09
1234,11.81,4.21
1235,11.28,2.19
1236,11.23,3.89
1237,10.22,25.79
1238,12.32,20.69
1239,8.93,73.58
1240,7.37,11.12
1241,10.14,0.96
1242,9.73,2.32
1243,10.98,67.18
1244,8.69,0.36
1245,12.23,0.59
1246,13.45,0.78
1247,8.3,0.01
1248,11.94,20.04
1249,13.01,0.49
1250,7.19,0.15
1251,7.52,0.18
1252,11.73,0.05
1253,10.0,31.04
1254,8.85,0.15
1255,8.39,1.92
1256,12.35,0.34
1257,8.8,0.2
1258,9.91,8.14
1259,7.48,7.66
1260,8.68,0.14
1261,13.23,13.09
1262,10.77,0.21
1263,9.76,1.84
1264,8.97,4.21
1265,9.25,0.98
1266,10.14,0.02
1267,10.36,0.53
1268,9.09,5.46
1269,11.5,0.43
1270,9.79,0.96
1271,11.75,1.27
1272,8.47,0.7
1273,11.69,0.33
1274,6.49,16.42
1275,7.2,0.86
1276,10.91,1.4
1277,7.69,0.54
1278,6.68,0.23
1279,8.74,0.05
1280,10.42,0.26
1281,9.18,0.05
1282,8.22,0.37
1283,11.9,0.77
1284,12.84,14.28
1285,8.62,0.08
1286,9.55,0.19
1287,9.31,1.38
1288,12.02,0.4
1289,7.54,5.06
1290,10.48,2.86
1291,8.38,30.87
1292,10.24,65.71
1293,9.52,1.16
1294,7.65,13.51
1295,7.24,13.59
1296,9.02,0.11
1297,10.49,1.33
1298,12.13,54.84
1299,10.7,0.01
1300,9.83,0.43
1301,13.45,0.46
1302,10.87,1.97
1303,13.12,0.19
1304,10.36,0.23
1305,10.66,2.7
1306,7.47,0.22
1307,9.2,0.67
1308,10.59,5.86
1309,10.21,104.69
1310,13.47,3.03
1311,13.01,1.31
1312,9.82,0.3
1313,9.18,51.06
1314,6.6,0.89
1315,11.94,2.78
1316,9.15,0.08
1317,10.29,5.82
1318,8.09,104.64
1319,10.19,1.78
1320,10.79,0.04
1321,10.77,1.86
1322,10.45,3.69
1323,6.24,0.04
1324,10.09,88.92
1325,9.66,30.99
1326,12.02,0.53
1327,10.66,2.51
1328,11.15,0.24
1329,11.04,0.09
1330,11.48,0.05
1331,10.6,0.13
1332,8.19,0.83
1333,6.04,0.97
1334,9.65,48.31
1335,11.66,1.08
1336,10.76,1.18
1337,9.65,0.76
1338,8.97,0.05
1339,11.84,0.88
1340,10.57,1.48
1341,7.4,0.01
1342,10.04,0.08
1343,11.04,20.64
1344,11.59,10.13
1345,13.85,0.6
1346,10.33,1.98
1347,14.16,0.13
1348,10.33,1.08
1349,5.11,0.64
1350,8.01,0.05
1351,8.6,1.49
1352,5.22,6.22
1353,12.47,0.04
1354,10.86,8.27
1355,11.1,21.32
1356,9.42,0.33
1357,13.38,0.06
1358,12.54,14.3
1359,9.38,0.06
1360,10.62,0.06
1361,5.94,9.43
