,a,b
228,0.21,13.74
229,0.16,33.54
230,2.64,0.04
231,2.03,0.1
232,0.15,29.23
233,6.69,2.29
234,0.03,15.13
235,0.15,1.57
236,0.4,3.74
237,0.94,0.12
238,0.16,0.32
239,20.67,7.34
240,12.25,1.46
241,1.44,0.92
242,1.39,6.02
243,1.02,0.18
244,1.2,0.03
245,5.66,0.16
246,6.69,0.55
247,3.09,25.47
248,0.5,0.13
249,0.04,4.69
250,0.03,3.26
251,1.71,5.86
252,0.05,22.84
253,0.32,0.99
254,11.61,9.51
255,2.31,0.12
256,1.25,10.09
257,1.41,2.18
258,4.34,0.1
259,4.33,0.01
260,0.14,0.77
261,0.08,0.68
262,0.17,112.28
263,0.84,121.37
264,111.29,0.12
265,1.5,8.48
266,1.19,0.77
267,9.48,0.72
268,7.27,0.06
269,0.21,0.56
270,0.01,2.2
271,265.35,0.27
272,0.42,4.16
273,0.3,1.3
274,13.07,41.98
275,0.1,5.45
276,0.45,2.73
277,0.04,1.4
278,7.21,0.45
279,0.19,7.78
280,1.1,0.3
281,5.09,4.99
282,0.59,0.93
283,133.47,1.44
284,0.67,73.43
285,0.03,4.87
286,4.91,5.21
287,5.57,0.44
288,6.29,1.06
289,0.17,1.55
290,0.26,0.21
291,0.65,0.13
292,5.64,1.7
293,0.57,15.74
294,13.22,0.08
295,4.39,1.35
296,2.97,0.23
297,0.13,2.79
298,0.01,2.1
299,0.99,0.07
300,14.73,0.08
301,5.13,2.65
302,0.11,1.42
303,3.72,2.07
304,0.83,3.58
305,2.34,3.94
306,0.06,123.49
307,0.09,2.34
308,0.47,1.12
309,9.71,0.53
310,0.36,30.21
311,0.97,9.29
312,13.8,0.26
313,0.27,0.11
314,0.28,0.1
315,0.19,6.83
316,10.86,9.02
317,0.28,1.54
318,0.04,0.02
319,0.2,0.06
320,1.44,2.18
321,1.22,0.93
322,2.95,1.17
323,11.79,0.65
324,1.58,0.35
325,0.3,1.88
326,0.01,0.69
327,1.43,0.03
328,4.56,0.31
329,2.49,1.88
330,2.97,0.44
331,0.21,4.23
332,3.15,37.67
333,0.02,0.06
334,0.04,932.23
335,0.02,0.36
336,5.38,0.72
337,4.02,3.54
338,3.95,0.05
339,38.7,1.23
340,0.07,1.05
341,1.74,0.33
342,0.41,1.88
343,0.21,0.24
344,5.25,1.11
345,0.42,0.03
346,0.09,3.4
347,4.79,7.28
348,0.34,46.06
349,0.74,0.22
350,5.91,3.7
351,0.49,0.56
352,0.44,7.34
353,2.23,0.04
354,32.09,0.26
355,0.03,0.85
356,34.73,29.96
357,8.34,0.03
358,2.59,4.69
359,3.49,0.91
360,0.07,2.19
361,2.27,0.31
362,10.24,0.04
363,1.29,15.14
364,0.03,0.1
365,0.5,1.38
366,0.05,0.11
367,0.06,1.77
368,0.09,12.42
369,5.53,1.97
370,26.79,0.27
371,0.65,0.76
372,10.17,2.14
373,0.28,0.04
374,0.39,3.16
375,13.75,1.34
376,105.26,0.52
377,14.29,3.44
378,0.0,3.09
379,0.38,1.06
380,1.46,0.65
381,1.45,0.29
382,0.12,2.42
383,313.97,30.68
384,0.01,3.42
385,0.82,4.87
386,0.11,0.07
387,0.41,0.04
388,0.85,4.09
389,0.19,0.29
390,1.16,11.88
391,0.02,0.63
392,0.09,0.73
393,1.73,2.47
394,0.05,0.45
395,1.94,0.01
396,0.22,17.47
397,0.06,0.51
398,0.87,2.54
399,0.17,0.28
400,37.83,0.45
401,1.09,0.77
402,31.92,4.41
403,0.12,2.54
404,9.91,0.04
405,0.89,3.82
406,4.32,1.38
407,0.29,0.87
408,11.51,7.18
409,86.74,0.01
410,0.18,1.72
411,0.14,0.89
412,85.4,5.29
413,0.08,2.86
414,0.6,7.31
415,0.21,0.09
416,0.03,8.11
417,0.33,0.06
418,0.62,0.81
419,0.01,0.41
420,9.26,3.69
421,1.09,0.67
422,0.0,2.66
423,0.89,3.23
424,97.47,0.55
425,0.1,6.75
426,1.04,1.65
427,35.3,0.02
428,0.01,0.12
429,14.05,0.17
430,56.27,0.68
431,25.27,0.32
432,0.06,2.71
433,4.92,0.27
434,0.61,5.86
435,26.22,2.39
436,11.43,0.03
437,0.38,0.75
438,0.84,0.22
439,0.13,3.54
440,0.4,24.64
441,0.48,0.05
442,0.96,0.52
443,0.53,123.57
444,0.16,0.08
445,1.06,3.37
446,0.33,0.01
447,0.81,0.65
448,0.16,0.42
449,18.27,0.06
450,13.43,0.07
451,12.03,6.16
452,0.09,0.74
453,1.51,19.7
454,0.44,0.17
455,1.01,0.41
456,2.79,20.1
457,5.71,61.85
458,0.15,5.87
459,13.99,2.55
460,15.72,3.94
461,12.5,0.89
462,0.23,115.7
463,1.55,9.33
464,1.0,0.22
465,0.19,18.66
466,0.16,0.51
467,0.86,1.13
468,0.1,2.58
469,0.05,0.14
470,0.54,3.42
471,0.82,103.91
472,6.35,0.14
473,31.59,0.03
474,0.06,0.53
475,1.69,0.37
476,3.67,12.52
477,0.11,0.1
478,0.4,62.5
479,1.11,0.1
480,0.53,2.47
481,4.59,90.49
482,35.0,20.84
483,65.36,8.52
484,0.67,0.95
485,0.41,1.9
486,8.16,0.2
487,0.59,42.31
488,0.83,0.38
489,4.97,0.46
490,0.14,0.78
491,24.92,0.69
492,0.46,0.27
493,2.04,0.78
494,0.25,0.5
495,1.86,3.82
496,0.16,4.55
497,0.02,0.7
498,0.24,0.6
499,2.67,0.0
500,0.03,1.03
501,3.08,0.2
502,36.81,0.12
503,0.51,7.98
504,5.3,0.22
505,0.51,0.88
506,7.84,28.42
507,0.6,5.43
508,0.01,0.96
509,0.32,0.4
510,14.51,0.91
511,0.7,0.0
512,0.19,5.05
513,1.78,0.97
514,0.04,17.51
515,38.37,5.83
516,0.11,3.52
517,3.0,210.33
518,1.85,2.36
519,0.45,2.27
520,0.06,2.52
521,1.14,226.94
522,0.87,2.22
523,0.84,0.0
524,0.02,0.94
525,0.99,0.9
526,0.7,4.48
527,0.87,0.98
528,0.87,0.17
529,0.22,0.09
530,0.05,0.7
531,1.84,2.64
532,0.08,25.58
533,0.12,28.17
534,0.94,0.4
535,36.22,0.36
536,3.12,1.04
537,9.31,0.0
538,0.49,13.45
539,0.55,0.08
540,2.67,1.07
541,1.81,0.06
542,1.66,0.97
543,2.44,1.49
544,0.49,0.17
545,0.92,2.81
546,0.98,0.68
547,33.74,4.99
548,0.8,0.16
549,1.19,0.67
550,5.6,1.48
551,5.48,0.22
552,5.31,0.01
553,0.02,3.2
554,0.75,0.88
555,0.57,2.85
556,0.65,0.1
557,1.81,5.11
558,5.98,4.7
559,2.0,1.01
560,0.31,8.46
561,0.52,0.01
562,0.03,0.11
563,0.12,0.08
564,16.61,0.05
565,0.99,0.26
566,0.03,1.11
567,0.49,27.56
568,1.61,1.25
569,2.06,3.73
570,0.07,0.53
571,0.35,44.73
572,18.7,0.16
573,595.16,0.1
574,1.01,1.53
575,0.07,54.26
576,0.19,0.46
577,0.19,0.61
578,0.56,24.18
579,8.01,0.08
580,48.58,0.13
581,0.01,0.02
582,0.72,0.0
583,2.05,0.07
584,0.56,0.02
585,0.56,0.07
586,0.54,20.08
587,24.83,0.13
588,2.62,0.19
589,0.25,13.21
590,56.19,0.98
591,7.38,26.53
592,0.06,5.69
593,0.08,0.82
594,1.23,68.3
595,2.68,4.43
596,0.07,0.24
597,15.75,0.08
598,2.73,147.52
599,7.48,0.29
600,0.05,4.58
601,0.03,2.81
602,2.2,6.09
603,0.84,26.45
604,7.05,0.0
605,0.18,0.38
606,2.31,0.81
607,0.0,24.88
608,0.11,0.32
609,2.63,0.22
610,0.03,4.47
611,0.1,0.29
612,0.48,4.7
613,3.4,27.53
614,14.35,24.39
615,0.14,0.16
616,0.13,0.01
617,51.12,3.05
618,264.67,0.69
619,0.52,44.94
620,0.43,0.03
621,5.55,3.91
622,8.26,0.23
623,0.07,1.69
624,27.69,7.07
625,0.04,2.13
626,0.44,1.6
627,0.01,6.46
628,12.78,1.24
629,5.25,0.8
630,6.13,25.58
631,0.14,0.01
632,2.79,4.97
633,0.05,42.71
634,1.68,2.92
635,35.16,8.06
636,4.27,18.19
637,0.19,28.38
638,26.55,0.11
639,0.35,4.66
640,0.77,178.97
641,10.93,0.11
642,0.09,1.08
643,2.69,0.33
644,1.47,0.22
645,0.1,1.33
646,1.17,0.31
647,1.84,0.08
648,2.81,0.04
649,1.85,12.4
650,12.85,76.56
651,3.72,62.03
652,0.61,0.14
653,1.0,0.05
654,5.11,0.54
655,0.12,5.01
656,3.94,0.59
657,0.43,25.88
658,1.06,9.15
659,0.03,1.99
660,8.52,0.14
661,0.05,0.44
662,1.13,34.31
663,0.64,0.36
664,11.97,0.51
665,1.19,0.08
666,8.99,9.89
667,0.74,0.82
668,0.33,1.43
669,8.0,0.03
670,0.17,0.32
671,0.02,0.07
672,0.01,1.41
673,8.2,34.68
674,2.82,0.08
675,0.33,0.03
676,7.49,1.2
677,23.69,4.57
678,1.37,0.3
679,0.25,0.4
680,527.21,1.62
681,0.22,0.75
682,2.62,2.01
683,0.23,0.11
684,0.01,0.12
685,0.56,0.93
686,0.36,6.47
687,4.14,3.13
688,0.8,0.59
689,0.31,2.16
690,15.97,0.19
691,0.27,0.65
692,0.05,0.03
693,0.1,0.05
694,0.05,0.0
695,0.05,23.18
696,2.53,3.55
697,0.3,4.41
698,2.15,3.61
699,1.45,1.83
700,0.02,1.22
701,0.36,0.34
702,0.12,2.9
703,0.19,0.89
704,18.71,0.53
705,34.72,0.43
706,5.97,0.17
707,0.01,0.9
708,7.24,0.06
709,5.67,0.11
710,18.48,1.62
711,0.29,24.86
712,0.03,1.17
713,0.06,0.63
714,9.03,3.32
715,18.47,7.73
716,9.09,22.34
717,0.21,1.16
718,2.55,14.37
719,5.96,0.38
720,0.23,0.02
721,6.42,29.13
722,0.5,4.42
723,0.81,0.67
724,0.15,1.19
725,7.8,11.08
726,0.13,1.9
727,2.53,0.03
728,0.14,8.13
729,0.08,25.31
730,0.36,19.05
731,5.94,3.31
732,0.76,5.18
733,1.03,0.3
734,2.34,3.26
735,4.28,0.56
736,1.55,0.08
737,1.28,0.18
738,0.35,0.46
739,24.54,1.75
740,0.02,1.35
741,0.03,31.19
742,1.18,0.15
743,1.13,53.03
744,0.25,5.12
745,5.42,0.64
746,0.07,0.06
747,0.13,6.04
748,7.64,0.06
749,0.05,35.04
750,6.33,0.11
751,0.91,7.3
752,1.92,0.37
753,0.71,57.09
754,2.3,0.06
755,5.53,1.55
756,0.05,0.09
757,0.04,7.95
758,6.12,11.99
759,0.54,13.81
760,0.09,0.14
761,12.75,1.68
762,0.16,1.07
763,2.03,3.19
764,0.28,8.22
765,1.86,31.12
766,0.03,0.02
767,0.04,1.31
768,8.5,27.74
769,0.06,5.52
770,19.13,22.02
771,50.2,0.15
772,0.27,2.42
773,1.3,0.21
774,4.1,3.73
775,0.37,0.37
776,5.86,4.32
777,0.16,2.05
778,0.19,1.23
779,31.13,0.18
780,9.81,0.3
781,0.31,0.27
782,0.23,0.42
783,1.74,0.58
784,5.35,2.27
785,3.57,0.27
786,5.86,8.79
787,0.38,1.58
788,1.05,1.08
789,0.97,0.4
790,40.39,2.52
791,10.19,14.16
792,0.24,5.61
793,1.22,3.75
794,4.29,0.85
795,1.54,0.22
796,0.81,0.65
797,4.03,0.02
798,0.9,2.15
799,0.71,24.22
800,28.44,24.51
801,0.17,0.16
802,4.26,8.23
803,1.14,1.7
804,0.73,0.67
805,0.47,0.07
806,2.93,0.04
807,10.8,11.38
808,0.4,0.22
809,1.22,1.34
810,3.02,0.88
811,0.47,0.14
812,0.15,2.07
813,0.76,1.06
814,31.79,14.32
815,0.04,10.44
816,0.36,2.05
817,0.16,17.24
818,0.95,2.5
819,0.06,19.22
820,1.91,0.05
821,0.02,0.29
822,16.65,0.15
823,0.39,1.69
824,13.6,0.24
825,0.16,14.46
826,0.27,2.8
827,1.23,5.0
828,1.43,10.73
829,0.33,0.24
830,10.55,0.34
831,0.41,118.28
832,0.37,98.04
833,0.38,0.03
834,0.17,0.04
835,39.24,0.37
836,1.06,37.89
837,2.74,0.05
838,0.1,0.11
839,0.11,0.05
840,0.31,1.49
841,0.1,3.99
842,2.21,1.85
843,2.55,0.35
844,6.13,3.05
845,0.05,6.79
846,78.67,0.29
847,3.08,0.1
848,2.41,1.13
849,4.2,0.14
850,1.86,33.52
851,1.1,0.63
852,0.71,60.08
853,9.02,0.05
854,0.05,0.23
855,0.0,0.25
856,0.04,0.87
857,0.1,0.56
858,0.33,0.77
859,5.88,4.16
860,0.37,1.56
861,0.13,4.62
862,52.23,0.5
863,6.87,0.11
864,4.72,0.21
865,0.3,0.55
866,3.68,2.16
867,11.34,0.17
868,0.04,0.04
869,0.14,1.19
870,0.05,0.94
871,3.91,0.57
872,0.23,10.49
873,0.24,1.28
874,0.05,0.38
875,2.14,3.77
876,1.03,1.14
877,3.27,2.95
878,30.51,2.32
879,2.92,1.23
880,3.7,8.48
881,0.31,2.74
882,0.21,0.3
883,0.37,4.46
884,0.3,0.28
885,7.93,0.13
886,1.23,0.08
887,0.29,0.77
888,0.03,0.37
889,3.22,0.09
890,0.04,10.49
891,2.66,20.24
892,2.97,15.03
893,0.08,0.29
894,0.07,0.04
895,0.57,61.59
896,6.12,8.34
897,0.11,9.17
898,0.17,0.28
899,0.24,2.25
900,3.18,0.0
901,13.19,1.43
902,17.49,1.18
903,28.84,0.05
904,0.05,0.62
905,0.11,36.49
906,3.81,0.15
907,11.16,83.5
908,1.86,3.66
909,0.08,0.16
910,0.08,1.02
911,0.02,26.77
912,5.41,4.97
913,0.93,3.4
914,1.91,3.17
915,1.23,2.21
916,0.47,0.01
917,1.23,1.62
918,33.93,0.66
919,36.14,0.16
920,1.37,42.14
921,2.33,1.36
922,0.85,0.25
923,2.62,0.02
924,0.28,0.69
925,11.01,0.02
926,1.85,0.16
927,5.43,0.1
928,0.04,2.05
929,0.16,1.4
930,1.66,1.65
931,82.48,0.32
932,0.03,0.07
933,0.33,1.43
934,0.8,3.29
935,0.12,11.47
936,1.82,382.61
937,0.44,0.66
938,1.56,1.54
939,1.26,0.61
940,0.05,3.32
941,2.05,1.67
942,0.06,7.46
943,10.98,0.02
944,0.39,0.16
945,3.46,0.12
946,9.99,0.07
947,10.48,0.07
948,0.13,0.31
949,0.08,0.12
950,1.29,1.62
951,0.43,4.34
952,1.65,4.49
953,1.88,28.63
954,0.75,2.16
955,48.59,6.6
956,0.01,0.83
957,0.15,0.44
958,6.72,7.39
959,0.15,19.16
960,7.11,0.14
961,0.08,0.22
962,4.86,2.35
963,57.82,0.61
964,0.53,16.4
965,13.5,0.79
966,0.06,0.76
967,1.48,0.04
968,0.25,29.51
969,19.93,0.05
970,1.63,1.11
971,1.31,0.97
972,0.01,0.0
973,5.46,0.08
974,8.56,4.31
975,8.87,0.43
976,3.24,0.33
977,3.61,1.24
978,1.4,0.14
979,61.39,26.03
980,1.02,0.01
981,3.65,0.05
982,0.46,7.99
983,63.92,0.59
984,6.32,1.19
985,1.77,0.51
986,0.07,4.69
987,0.02,0.04
988,2.61,3.24
989,0.84,6.09
990,29.57,18.15
991,0.13,0.05
992,0.19,1.21
993,3.25,14.86
994,0.52,0.33
995,0.72,0.31
996,0.07,0.72
997,0.09,0.88
998,11.89,0.12
999,6.76,3.37
1000,11.39,0.72
1001,0.11,1.34
1002,0.5,1.5
1003,3.16,3.04
1004,0.86,0.11
1005,0.18,0.62
1006,1.38,0.01
1007,2.43,21.98
1008,0.7,0.71
1009,13.15,11.47
1010,15.66,1.36
1011,9.33,0.53
1012,3.11,7.94
1013,0.24,126.4
1014,0.01,0.96
1015,137.83,0.05
1016,1.31,2.65
1017,10.72,11.98
1018,8.97,5.83
1019,38.32,11.5
1020,4.65,8.04
1021,1.2,0.13
1022,0.61,1.0
1023,0.05,2.12
1024,0.25,12.53
1025,0.88,0.02
1026,0.06,11.08
1027,5.91,1.42
1028,1.86,14.82
1029,1.94,0.07
1030,0.17,0.03
1031,0.73,0.09
1032,2.81,0.18
1033,1.07,1.28
1034,15.25,97.3
1035,0.21,45.5
1036,0.22,2.98
1037,5.56,0.96
1038,8.81,0.24
1039,7.39,0.22
1040,1.25,3.86
1041,3.0,0.43
1042,14.37,1.23
1043,7.51,0.16
1044,0.06,1.9
1045,1.11,3.92
1046,6.46,1.99
1047,0.35,3.04
1048,0.58,0.36
1049,1.29,0.37
1050,8.74,3.56
1051,0.45,0.09
1052,6.81,2.11
1053,0.97,0.73
1054,0.02,0.04
1055,0.08,0.27
1056,0.02,0.51
1057,5.27,0.06
1058,0.05,0.38
1059,94.79,0.58
1060,4.34,8.93
1061,0.31,0.19
1062,0.91,0.86
1063,6.94,0.11
1064,27.98,0.76
1065,0.11,1.52
1066,0.75,2.91
1067,2.25,15.22
1068,5.0,0.34
1069,0.66,1.08
1070,0.26,0.19
1071,10.04,0.21
1072,0.0,1.3
1073,94.06,23.93
1074,6.9,0.65
1075,6.69,0.45
1076,0.12,7.39
1077,0.06,7.58
1078,0.95,0.24
1079,0.47,0.34
1080,0.1,0.05
1081,0.4,0.37
1082,3.77,0.16
1083,0.09,1.06
1084,0.19,0.02
1085,0.89,0.15
1086,0.26,0.93
1087,0.74,2.25
1088,6.8,2.87
1089,0.41,0.92
1090,3.58,0.1
1091,33.85,0.5
1092,1.11,2.83
1093,0.93,0.4
1094,3.39,0.29
1095,1649.0,6.5
1096,0.01,6.68
1097,5.66,1.22
1098,0.05,1.29
1099,0.4,1.12
1100,0.29,1.81
1101,7.46,0.18
1102,2.53,0.96
1103,8.9,0.83
1104,1.54,0.84
1105,36.76,1.07
1106,12.0,0.38
1107,0.05,0.22
1108,0.08,0.71
1109,0.28,0.07
1110,4.0,1.66
1111,17.14,0.35
1112,0.17,2.98
1113,3.4,13.01
1114,5.39,8.55
1115,49.05,43.57
1116,0.25,0.23
1117,34.03,0.76
1118,1.24,31.73
1119,1.3,5.98
1120,0.54,5.73
1121,0.73,0.0
1122,0.45,0.2
1123,124.69,2.99
1124,0.0,2.47
1125,0.13,74.59
1126,0.18,3.1
1127,9.52,0.48
1128,0.12,1.6
1129,82.7,0.02
1130,1.91,5.46
1131,34.17,4.92
1132,15.39,0.95
1133,0.66,0.01
1134,0.73,0.03
1135,0.93,0.3
1136,1.04,2.19
1137,11.31,16.74
1138,4.2,1.68
1139,0.47,8.46
1140,0.03,0.4
1141,1.66,3.06
1142,133.34,1.08
1143,0.4,24.62
1144,1.43,0.07
1145,0.06,4.97
1146,0.01,0.4
1147,2.92,11.19
1148,0.06,1.61
1149,12.5,6.96
1150,1.81,0.73
1151,0.13,0.98
1152,2.41,0.26
1153,2.68,37.23
1154,5.69,62.01
1155,0.07,0.07
1156,2.51,5.31
1157,0.4,0.23
1158,2.8,8.18
1159,22.25,1.17
1160,0.03,0.17
1161,1.36,2.82
1162,0.07,8.61
1163,0.25,5.63
1164,21.68,1.85
1165,0.56,1.12
1166,0.39,1.59
1167,3.78,0.02
1168,0.35,0.01
1169,0.28,0.91
1170,0.15,3.38
1171,0.06,20.19
1172,0.78,24.17
1173,0.17,0.31
1174,0.09,8.17
1175,1.08,0.06
1176,0.18,0.94
1177,153.22,0.22
1178,0.03,0.19
1179,1.18,0.04
1180,3.9,3.16
1181,0.71,3.57
1182,6.52,0.03
1183,0.38,0.01
1184,0.14,0.61
1185,0.0,21.39
1186,5.74,0.54
1187,1.05,2.36
1188,0.94,0.19
1189,0.33,0.21
1190,5.9,0.64
1191,2.24,2.29
1192,9.34,0.19
1193,0.86,2.26
1194,32.73,0.04
1195,0.68,0.6
1196,21.31,0.02
1197,55.16,0.17
1198,0.25,0.02
1199,0.38,0.43
1200,0.87,13.18
1201,2.79,1.81
1202,7.39,661.73
1203,0.89,0.58
1204,0.56,0.31
1205,2.95,2.04
1206,0.05,34.87
1207,0.19,0.06
1208,0.56,2.1
1209,1.49,0.86
1210,8.97,0.15
1211,1.11,0.05
1212,0.85,0.02
1213,3.29,29.9
1214,0.24,10.94
1215,11.46,18.05
1216,0.28,0.43
1217,1.26,3.09
1218,22.28,0.64
1219,0.32,1.94
1220,24.76,0.51
1221,1.29,2.4
1222,0.33,8.33
1223,1.05,2.55
1224,0.49,2.76
1225,3.17,5.43
1226,0.87,19.62
1227,1.69,7.84
1228,2.07,0.48
1229,1.03,0.03
1230,0.03,3.8
1231,3.58,7.94
1232,0.0,1.62
1233,7.95,0.09
1234,7.01,4.21
1235,3.98,2.19
1236,3.74,3.89
1237,1.27,25.79
1238,12.14,20.69
1239,0.32,73.58
1240,0.06,11.12
1241,1.16,0.96
1242,0.75,2.32
1243,2.86,67.18
1244,0.24,0.36
1245,11.02,0.59
1246,40.95,0.78
1247,0.16,0.01
1248,8.1,20.04
1249,25.61,0.49
1250,0.05,0.15
1251,0.07,0.18
1252,6.41,0.05
1253,1.0,31.04
1254,0.29,0.15
1255,0.18,1.92
1256,12.51,0.34
1257,0.28,0.2
1258,0.91,8.14
1259,0.07,7.66
1260,0.24,0.14
1261,32.31,13.09
1262,2.29,0.21
1263,0.77,1.84
1264,0.33,4.21
1265,0.45,0.98
1266,1.16,0.02
1267,1.47,0.53
1268,0.38,5.46
1269,5.02,0.43
1270,0.8,0.96
1271,6.58,1.27
1272,0.19,0.7
1273,6.14,0.33
1274,0.02,16.42
1275,0.05,0.86
1276,2.65,1.4
1277,0.08,0.54
1278,0.03,0.23
1279,0.26,0.05
1280,1.57,0.26
1281,0.41,0.05
1282,0.15,0.37
1283,7.72,0.77
1284,21.26,14.28
1285,0.23,0.08
1286,0.62,0.19
1287,0.48,1.38
1288,8.8,0.4
1289,0.07,5.06
1290,1.68,2.86
1291,0.17,30.87
1292,1.3,65.71
1293,0.6,1.16
1294,0.08,13.51
1295,0.05,13.59
1296,0.35,0.11
1297,1.7,1.33
1298,9.9,54.84
1299,2.12,0.01
1300,0.84,0.43
1301,41.06,0.46
1302,2.54,1.97
1303,28.7,0.19
1304,1.47,0.23
1305,2.03,2.7
1306,0.07,0.22
1307,0.42,0.67
1308,1.89,5.86
1309,1.26,104.69
1310,41.98,3.03
1311,25.55,1.31
1312,0.82,0.3
1313,0.41,51.06
1314,0.03,0.89
1315,8.06,2.78
1316,0.4,0.08
1317,1.37,5.82
1318,0.13,104.64
1319,1.23,1.78
1320,2.35,0.04
1321,2.28,1.86
1322,1.62,3.69
1323,0.02,0.04
1324,1.1,88.92
1325,0.7,30.99
1326,8.83,0.53
1327,2.03,2.51
1328,3.46,0.24
1329,3.07,0.09
1330,4.93,0.05
1331,1.91,0.13
1332,0.14,0.83
1333,0.01,0.97
1334,0.68,48.31
1335,5.96,1.08
1336,2.26,1.18
1337,0.68,0.76
1338,0.33,0.05
1339,7.21,0.88
1340,1.84,1.48
1341,0.06,0.01
1342,1.04,0.08
1343,3.06,20.64
1344,5.52,10.13
1345,63.22,0.6
1346,1.42,1.98
1347,88.28,0.13
1348,1.43,1.08
1349,0.01,0.64
1350,0.12,0.05
1351,0.22,1.49
1352,0.01,6.22
1353,14.33,0.04
1354,2.53,8.27
1355,3.25,21.32
1356,0.53,0.33
1357,38.18,0.06
1358,15.37,14.3
1359,0.51,0.06
1360,1.94,0.06
1361,0.01,9.43
